unique_count,repetition_ratio,sequentiality,frequency_variance,best_policy
21,0.79,0.06,6.59047619047619,LFU
21,0.79,0.04,5.29047619047619,LFU
21,0.79,0.06,1.7904761904761906,LRU
21,0.79,0.07,4.690476190476191,LFU
21,0.79,0.05,2.9904761904761905,LRU
21,0.79,0.04,3.8904761904761904,LRU
21,0.79,0.01,3.9904761904761905,LRU
21,0.79,0.02,5.9904761904761905,LFU
21,0.79,0.06,3.3904761904761904,FIFO
20,0.8,0.02,3.8947368421052633,FIFO
21,0.79,0.03,2.8904761904761904,LRU
21,0.79,0.05,3.2904761904761903,LRU
21,0.79,0.02,8.09047619047619,LFU
21,0.79,0.09,4.29047619047619,FIFO
20,0.8,0.03,4,LRU
21,0.79,0.01,3.4904761904761905,FIFO
21,0.79,0.04,4.29047619047619,LFU
21,0.79,0.04,2.9904761904761905,FIFO
21,0.79,0.05,4.4904761904761905,LRU
21,0.79,0.03,5.390476190476191,LFU
21,0.79,0.06,4.190476190476191,LFU
21,0.79,0.03,7.190476190476191,LFU
21,0.79,0.03,5.79047619047619,LFU
20,0.8,0.02,6.421052631578948,FIFO
21,0.79,0.03,3.8904761904761904,FIFO
21,0.79,0.07,5.390476190476191,LRU
20,0.8,0.02,4.631578947368421,LFU
21,0.79,0.04,3.2904761904761903,LRU
21,0.79,0.04,3.0904761904761906,FIFO
21,0.79,0.05,4.390476190476191,FIFO
21,0.79,0.02,4.09047619047619,FIFO
21,0.79,0.05,3.2904761904761903,LFU
21,0.79,0.03,4.09047619047619,LRU
21,0.79,0.03,4.390476190476191,LFU
21,0.79,0.01,5.4904761904761905,LRU
21,0.79,0.02,4.4904761904761905,FIFO
21,0.79,0.04,4.890476190476191,LRU
21,0.79,0.06,4.29047619047619,LFU
21,0.79,0.06,4.4904761904761905,LFU
21,0.79,0.02,3.6904761904761907,LRU
21,0.79,0.03,7.59047619047619,LFU
21,0.79,0.01,5.190476190476191,LFU
21,0.79,0.08,3.2904761904761903,LFU
21,0.79,0.03,6.4904761904761905,LFU
21,0.79,0.04,2.9904761904761905,FIFO
20,0.8,0.05,4.526315789473684,LRU
21,0.79,0.05,6.09047619047619,FIFO
21,0.79,0.07,5.190476190476191,LRU
21,0.79,0.03,4.09047619047619,FIFO
21,0.79,0.07,3.9904761904761905,LRU
21,0.79,0.04,6.9904761904761905,LFU
21,0.79,0.01,3.5904761904761906,FIFO
21,0.79,0.02,3.4904761904761905,LRU
21,0.79,0.02,4.59047619047619,FIFO
21,0.79,0.03,6.4904761904761905,LFU
21,0.79,0.03,4.09047619047619,FIFO
21,0.79,0.01,4.4904761904761905,LFU
21,0.79,0.03,3.0904761904761906,LFU
21,0.79,0.09,2.5904761904761906,LFU
21,0.79,0.03,4.79047619047619,LRU
21,0.79,0.05,3.4904761904761905,FIFO
21,0.79,0.04,3.3904761904761904,LFU
20,0.8,0.07,2,LFU
20,0.8,0.01,3.6842105263157894,LFU
20,0.8,0.05,4,FIFO
20,0.8,0.1,5.473684210526316,LRU
21,0.79,0.05,4.690476190476191,LRU
21,0.79,0.06,5.79047619047619,LFU
21,0.79,0.08,3.9904761904761905,LFU
21,0.79,0.04,4.09047619047619,LFU
21,0.79,0.05,4.9904761904761905,LRU
21,0.79,0.04,3.4904761904761905,LRU
21,0.79,0.03,4.79047619047619,LFU
19,0.81,0.02,4.982456140350878,LRU
21,0.79,0.02,4.4904761904761905,LRU
21,0.79,0.03,6.79047619047619,LFU
20,0.8,0.01,4,LFU
21,0.79,0.05,2.5904761904761906,FIFO
20,0.8,0.03,6,LFU
21,0.79,0.07,1.2904761904761906,LRU
21,0.79,0.05,5.59047619047619,FIFO
21,0.79,0.03,2.4904761904761905,LRU
21,0.79,0.06,3.3904761904761904,LFU
20,0.8,0.03,3.5789473684210527,FIFO
20,0.8,0.09,5.368421052631579,LFU
21,0.79,0.06,3.8904761904761904,LFU
21,0.79,0.03,2.9904761904761905,LRU
20,0.8,0.03,2.8421052631578947,LRU
21,0.79,0.04,3.7904761904761903,FIFO
21,0.79,0.04,2.8904761904761904,LFU
21,0.79,0.04,4.79047619047619,LFU
21,0.79,0.04,3.5904761904761906,LRU
19,0.81,0.05,9.31578947368421,LFU
21,0.79,0.04,4.9904761904761905,LFU
21,0.79,0.05,2.5904761904761906,LRU
21,0.79,0.07,2.1904761904761907,LRU
20,0.8,0.06,6.7368421052631575,LFU
20,0.8,0.02,5.684210526315789,LFU
21,0.79,0.04,7.390476190476191,LFU
21,0.79,0.04,4.59047619047619,LFU
21,0.79,0.03,5.29047619047619,LRU
21,0.79,0.04,3.6904761904761907,LRU
21,0.79,0.03,5.4904761904761905,LFU
21,0.79,0.04,5.390476190476191,LFU
20,0.8,0.02,2.9473684210526314,FIFO
20,0.8,0.06,6.526315789473684,LRU
21,0.79,0.04,3.0904761904761906,LFU
21,0.79,0.06,3.7904761904761903,LRU
21,0.79,0.05,3.0904761904761906,LFU
21,0.79,0.06,5.690476190476191,LRU
21,0.79,0.04,2.7904761904761903,LRU
21,0.79,0.04,4.59047619047619,LRU
21,0.79,0.05,4.59047619047619,FIFO
21,0.79,0.06,4.190476190476191,LRU
21,0.79,0.03,4.79047619047619,LRU
21,0.79,0.02,2.1904761904761907,LRU
21,0.79,0.07,2.3904761904761904,FIFO
21,0.79,0.02,4.09047619047619,LRU
21,0.79,0.05,4.390476190476191,LRU
21,0.79,0.07,3.9904761904761905,LFU
21,0.79,0.03,2.4904761904761905,FIFO
21,0.79,0.05,2.6904761904761907,FIFO
21,0.79,0.04,3.9904761904761905,LFU
21,0.79,0.04,6.09047619047619,LFU
21,0.79,0.04,4.09047619047619,FIFO
21,0.79,0.06,5.79047619047619,LFU
21,0.79,0.03,2.8904761904761904,LRU
21,0.79,0.05,2.5904761904761906,FIFO
21,0.79,0.05,6.9904761904761905,LFU
21,0.79,0.06,3.0904761904761906,FIFO
21,0.79,0.05,4.690476190476191,FIFO
21,0.79,0.02,5.9904761904761905,LFU
21,0.79,0.05,4.890476190476191,LFU
21,0.79,0.05,2.3904761904761904,LRU
21,0.79,0.11,2.1904761904761907,LRU
21,0.79,0.04,7.09047619047619,LFU
21,0.79,0.07,2.9904761904761905,FIFO
21,0.79,0.04,4.690476190476191,LRU
21,0.79,0.06,3.1904761904761907,LFU
21,0.79,0.04,3.5904761904761906,LRU
21,0.79,0.02,4.09047619047619,LFU
21,0.79,0.07,3.3904761904761904,LRU
21,0.79,0.07,5.190476190476191,FIFO
21,0.79,0.07,1.3904761904761904,LRU
21,0.79,0.04,2.1904761904761907,LFU
21,0.79,0.02,5.79047619047619,FIFO
21,0.79,0.05,2.7904761904761903,FIFO
21,0.79,0.05,5.9904761904761905,LFU
21,0.79,0.1,4.79047619047619,FIFO
21,0.79,0.06,3.9904761904761905,LRU
21,0.79,0.02,3.9904761904761905,LRU
21,0.79,0.03,4.09047619047619,LRU
21,0.79,0.01,1.8904761904761904,LRU
21,0.79,0.05,4.390476190476191,LRU
21,0.79,0.03,6.390476190476191,LFU
21,0.79,0.03,4.890476190476191,LFU
21,0.79,0.02,4.890476190476191,LFU
21,0.79,0.01,2.1904761904761907,FIFO
21,0.79,0.03,5.09047619047619,LFU
21,0.79,0.05,6.29047619047619,LFU
21,0.79,0.08,5.9904761904761905,LRU
21,0.79,0.03,6.29047619047619,FIFO
21,0.79,0.03,3.7904761904761903,FIFO
21,0.79,0.07,5.09047619047619,LFU
21,0.79,0.02,4.29047619047619,LRU
21,0.79,0.05,3.4904761904761905,LFU
21,0.79,0.02,3.9904761904761905,FIFO
21,0.79,0.05,6.390476190476191,LFU
21,0.79,0.04,3.9904761904761905,LRU
21,0.79,0.05,3.3904761904761904,LFU
21,0.79,0.03,5.690476190476191,LFU
21,0.79,0.04,7.390476190476191,LFU
21,0.79,0.06,2.4904761904761905,LRU
21,0.79,0.07,2.5904761904761906,LRU
20,0.8,0.03,3.1578947368421053,LRU
21,0.79,0.03,3.6904761904761907,LRU
21,0.79,0.02,4.390476190476191,FIFO
21,0.79,0.03,4.59047619047619,LFU
21,0.79,0.09,4.09047619047619,LFU
21,0.79,0.09,3.5904761904761906,FIFO
21,0.79,0.05,5.29047619047619,LRU
21,0.79,0.06,5.690476190476191,FIFO
21,0.79,0.03,3.4904761904761905,LRU
20,0.8,0.02,1.7894736842105263,LRU
20,0.8,0.05,3.473684210526316,LRU
21,0.79,0.03,4.79047619047619,LFU
21,0.79,0.07,5.29047619047619,LFU
21,0.79,0.06,3.5904761904761906,LRU
20,0.8,0.03,4,FIFO
21,0.79,0.05,5.890476190476191,LFU
21,0.79,0.01,3.5904761904761906,LRU
21,0.79,0.04,2.9904761904761905,FIFO
21,0.79,0.03,7.29047619047619,LRU
21,0.79,0.03,7.09047619047619,FIFO
21,0.79,0.09,4.690476190476191,FIFO
20,0.8,0.04,6.2105263157894735,FIFO
21,0.79,0.03,2.4904761904761905,FIFO
21,0.79,0.0,3.8904761904761904,LFU
21,0.79,0.03,5.29047619047619,LRU
21,0.79,0.07,4.59047619047619,LRU
21,0.79,0.02,4.890476190476191,LFU
21,0.79,0.05,4.190476190476191,LFU
21,0.79,0.04,5.4904761904761905,LFU
21,0.79,0.04,5.09047619047619,LRU
21,0.79,0.02,5.190476190476191,LFU
19,0.81,0.08,3.6491228070175437,LRU
21,0.79,0.06,4.690476190476191,LFU
20,0.8,0.04,4.421052631578948,LFU
21,0.79,0.02,9.19047619047619,LFU
20,0.8,0.05,9.473684210526315,LFU
20,0.8,0.05,3.789473684210526,LFU
21,0.79,0.03,5.390476190476191,LFU
21,0.79,0.05,7.59047619047619,LFU
21,0.79,0.03,5.4904761904761905,LRU
21,0.79,0.03,6.4904761904761905,LRU
21,0.79,0.03,3.5904761904761906,LRU
20,0.8,0.05,4.421052631578948,LRU
21,0.79,0.01,4.390476190476191,LRU
21,0.79,0.03,6.29047619047619,LRU
20,0.8,0.01,2.1052631578947367,FIFO
21,0.79,0.03,4.4904761904761905,LRU
21,0.79,0.06,4.09047619047619,FIFO
21,0.79,0.02,6.09047619047619,LRU
21,0.79,0.02,3.1904761904761907,FIFO
21,0.79,0.05,2.9904761904761905,LRU
21,0.79,0.06,1.9904761904761905,LRU
21,0.79,0.05,4.59047619047619,LFU
21,0.79,0.06,6.59047619047619,LFU
21,0.79,0.07,8.39047619047619,FIFO
21,0.79,0.09,3.0904761904761906,LRU
21,0.79,0.05,6.59047619047619,FIFO
21,0.79,0.08,7.890476190476191,LRU
21,0.79,0.03,2.8904761904761904,FIFO
21,0.79,0.06,4.690476190476191,LRU
21,0.79,0.05,3.8904761904761904,LRU
21,0.79,0.09,2.6904761904761907,FIFO
21,0.79,0.06,2.4904761904761905,LRU
21,0.79,0.04,4.190476190476191,LFU
